Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,995.25,1012.00,993.00,1010.70001,217600,1010.70001
2016-12-29,1000.00,1007.45001,986.40002,994.09998,165200,994.09998
2016-12-28,999.50,1009.75,995.20001,999.15002,452400,999.15002
2016-12-27,983.09998,1002.90002,982.25,999.25,132500,999.25
2016-12-26,989.00,993.84998,976.00,983.00,107700,983.00
2016-12-23,981.34998,1006.59998,975.00,989.29999,154600,989.29999
2016-12-22,1002.90002,1006.90002,970.20001,985.20001,348500,985.20001
2016-12-21,1015.00,1020.95001,1001.04999,1003.70001,117500,1003.70001
2016-12-20,998.00,1018.95001,998.00,1010.40002,129000,1010.40002
2016-12-19,1005.00,1006.04999,994.20001,1002.20001,80000,1002.20001
2016-12-16,999.20001,1009.00,998.00,1004.20001,112700,1004.20001
2016-12-15,997.90002,1018.90002,990.00,993.25,259100,993.25
2016-12-14,991.54999,1004.00,984.00,999.04999,331000,999.04999
2016-12-13,977.00,991.84998,973.50,990.04999,117800,990.04999
2016-12-12,981.00,981.50,965.45001,977.50,183600,977.50
2016-12-09,986.50,1007.04999,983.00,987.34998,190400,987.34998
2016-12-08,966.59998,987.79999,966.59998,984.75,85800,984.75
2016-12-07,967.20001,972.59998,960.90002,966.59998,123000,966.59998
2016-12-06,966.50,978.70001,962.70001,966.95001,112400,966.95001
2016-12-05,965.00,968.20001,957.90002,961.40002,85800,961.40002
2016-12-02,969.00,969.90002,961.00,964.09998,89500,964.09998
2016-12-01,976.00,984.00,969.45001,976.04999,99600,976.04999
2016-11-30,970.00,977.50,962.00,975.45001,141600,975.45001
2016-11-29,983.00,983.45001,967.40002,972.65002,109800,972.65002
2016-11-28,994.79999,994.79999,970.65002,979.65002,375700,979.65002
2016-11-25,930.29999,984.90002,930.29999,977.29999,396600,977.29999
2016-11-24,923.29999,940.00,922.90002,932.70001,350600,932.70001
2016-11-23,924.00,924.00,913.20001,920.50,171200,920.50
2016-11-22,921.75,928.00,912.00,913.95001,103400,913.95001
2016-11-21,930.90002,930.90002,906.75,911.15002,132300,911.15002
2016-11-18,929.79999,932.90002,918.00,919.79999,104300,919.79999
2016-11-17,934.79999,949.00,926.25,929.54999,135900,929.54999
2016-11-16,926.09998,956.70001,926.09998,940.09998,182400,940.09998
2016-11-15,922.00,938.00,909.54999,924.75,244600,924.75
2016-11-14,921.84998,921.84998,921.84998,921.84998,000,921.84998
2016-11-11,940.00,942.00,919.00,921.84998,215600,921.84998
2016-11-10,961.04999,965.20001,935.00,938.59998,271400,938.59998
2016-11-09,940.00,973.70001,900.29999,955.84998,408300,955.84998
2016-11-08,986.04999,990.00,970.95001,982.79999,147100,982.79999
2016-11-07,982.25,990.00,975.59998,978.75,106700,978.75
2016-11-04,966.90002,978.84998,962.00,970.79999,203400,970.79999
2016-11-03,984.50,984.50,965.09998,966.90002,209400,966.90002
2016-11-02,988.00,988.00,980.00,981.09998,141200,981.09998
2016-11-01,1009.84998,1009.84998,986.00,988.84998,230300,988.84998
2016-10-31,997.45001,997.45001,997.45001,997.45001,000,997.45001
